User name,User id,External system id,Barcode,Active,Type,Patron group,Departments,Proxy for,Last name,First name,Middle name,Preferred first name,Email,Phone,Mobile phone,Date of birth,Addresses,Preferred contact type id,Enrollment date,Expiration date,Created date,Updated date,Tags,Custom fields
username:68185,c9cdfe4f-0505-4aeb-b3cd-60906956909f,externalsystemid:68185,0000068185,false,,ILL Lending,,,Lang,James,J,,fse.hosting@ebsco.com,573-620-9920,,1981-08-18 00:00:00.000Z,1891ce1e-2cb5-402e-a9d6-7400ca3d9a9c;United States;4265 John Daniel Drive;;Stlouis;MO;63101;true;Home Address,001,,,,,,
username:68184,d4bfca00-1ddb-4086-8c55-87ef9d18e3b2,externalsystemid:68184,0000068184,false,,Bindery Charges,,,Myers,Sophia,L,,fse.hosting@ebsco.com,410-659-6467,,1994-02-06 00:00:00.000Z,09f67756-1d87-4ed4-bfb2-c20865e401b2;United States;1809 Marshall Street;;Baltimore;MD;21202;true;Home Address,001,,,,,,
username:68183,8287a144-0b3a-4a0b-8aac-975a6d646e59,externalsystemid:68183,0000068183,false,,"Proxy Only, Do Not Loan",,,Sattler,Frank,P,,fse.hosting@ebsco.com,712-484-0827,,1993-01-17 00:00:00.000Z,8f2a802e-2bdc-40d9-88dc-073b8ae9a02e;United States;2566 Ashwood Drive;;Carson;IA;51525;true;Home Address,001,,,,,,
username:68182,74459d77-f4c1-4977-8a7e-1e1afe289a48,externalsystemid:68182,0000068182,false,,"Alum, Quarter 25",,,McDonald,William,M,,fse.hosting@ebsco.com,727-790-6503,,1994-03-05 00:00:00.000Z,b4e19108-249e-4df7-9cd3-d026d6e84a5b;United States;87 County Line Road;;Tampa;FL;33607;true;Home Address,001,,,,,,
username:68181,b7fe2fd1-5dcc-48d6-b3a4-38539124b0ec,externalsystemid:68181,0000068181,false,,"UC Staff, Quarter",,,Sloan,Thomas,G,,fse.hosting@ebsco.com,651-631-0075,,1963-09-23 00:00:00.000Z,b85dbed9-c30a-44f3-b035-30c573d2f69e;United States;4814 B Street;;New Brighton;MN;55112;true;Home Address,001,,,,,,
username:68180,21d0a578-4190-4c47-8d68-142bb58c9e14,externalsystemid:68180,0000068180,false,,"Access Only, Do Not Loan",,,Hastings,Dorothy,J,,fse.hosting@ebsco.com,207-918-1865,,1962-10-13 00:00:00.000Z,d13a384d-9c56-4895-a53e-3932c1a6c689;United States;4360 Upton Avenue;;Westbrook;ME;4092;true;Home Address,001,,,,,,
username:6818,92e96fd1-c3c0-49ce-b9e9-22fb0b6d864b,externalsystemid:6818,000006818,false,,POLSKY Only Borrower,,,Yanes,Stephen,N,,fse.hosting@ebsco.com,228-475-0737,,1966-08-28 00:00:00.000Z,c35335e2-afb7-4c7e-bf54-7940bf599e4a;United States;1194 Kelley Road;;Moss Point;MS;39563;true;Home Address,001,,,,,,
username:68179,165c60b3-5069-474a-b48c-9cc115ab8e36,externalsystemid:68179,0000068179,false,,"UC Department, Quarter",,,Loyd,Jess,C,,fse.hosting@ebsco.com,715-977-5049,,1957-12-25 00:00:00.000Z,ddda19dc-f4ae-432b-b17f-bc0ba9911b1c;United States;1759 Orphan Road;;Hudson;WI;54016;true;Home Address,001,,,,,,
username:68178,cd509dad-4f20-41fa-bdfd-833a5eb8c831,externalsystemid:68178,0000068178,false,,"Other, Indefinite",,,Lang,Robert,A,,fse.hosting@ebsco.com,334-800-4020,,1962-03-04 00:00:00.000Z,f2650d53-2b13-42c6-9bb1-90280c87441d;United States;717 Quarry Drive;;Dothan;AL;36303;true;Home Address,001,,,,,,
username:68177,bed64403-742b-4b14-bca1-135e3a62bed7,externalsystemid:68177,0000068177,false,,"Alum, Quarter 25",,,Chon,Alfred,C,,fse.hosting@ebsco.com,617-356-1469,,1995-10-22 00:00:00.000Z,486faf02-6362-4bff-8fe8-37565d6781a4;United States;4614 Aspen Court;;Boston;MA;2115;true;Home Address,001,,,,,,
