User name,User id,External system id,Barcode,Active,Type,Patron group,Departments,Proxy for,Last name,First name,Middle name,Preferred first name,Email,Phone,Mobile phone,Date of birth,Addresses,Preferred contact type id,Enrollment date,Expiration date,Created date,Updated date,Tags,Custom fields
username:22548,7629e19d-dd76-4544-9647-e6cd2d64e675,externalsystemid:22548,0000022548,true,,"UC Stu/Graduate, Quarter",,,Terrell,Christopher,R,,fse.hosting@ebsco.org,812-867-1430,,1970-07-11 00:00:00.000Z,a3de090f-695b-4cba-b37a-eaaaa6111e07;United States;51 Stratford Park;;Evansville;IN;47711;true;Home Address,001,,2025-12-01 00:00:00.000Z,,,,
username:22547,edd07435-289c-4e95-912e-48c0255c28e9,externalsystemid:22547,0000022547,true,,"UC Stu/Graduate, Quarter",,,Devlin,Pedro,L,,fse.hosting@ebsco.org,828-253-8857,,1976-04-25 00:00:00.000Z,1ce8dafb-f016-4a6d-8aac-01c8845885b8;United States;3574 McVaney Road;;Asheville;NC;28801;true;Home Address,001,,2025-12-01 00:00:00.000Z,,,,
username:22546,dcddcfbb-c70d-4ee9-a21c-3d114ad1a1ae,externalsystemid:22546,0000022546,true,,"UC Stu/Graduate, Quarter",,,Curtis,Benjamin,A,,fse.hosting@ebsco.org,586-823-5833,,2000-06-20 00:00:00.000Z,132446fe-bc78-489e-95c2-4707006af7dd;United States;188 Reppert Coal Road;;Detroit;MI;48226;true;Home Address,001,,2025-12-01 00:00:00.000Z,,,,
username:22545,95d2a0cb-ab36-4876-beeb-bcc10e62c3c6,externalsystemid:22545,0000022545,true,,"UC Stu/Graduate, Quarter",,,Port,Christopher,I,,fse.hosting@ebsco.org,813-735-1351,,1961-02-23 00:00:00.000Z,0793ca53-4545-4616-a1d4-f8db498803f8;United States;4142 Saints Alley;;Tampa;FL;33634;true;Home Address,001,,2025-12-01 00:00:00.000Z,,,,
username:22544,75052636-bd78-4f55-8810-abe172fb632a,externalsystemid:22544,0000022544,true,,"UC Stu/Graduate, Quarter",,,Scott,Gloria,R,,fse.hosting@ebsco.org,218-468-3600,,1994-12-28 00:00:00.000Z,73330f4a-6647-4184-b29f-edbd7d1c90cb;United States;3523 Ferrell Street;;Wadena;MN;56482;true;Home Address,001,,2025-12-01 00:00:00.000Z,,,,
username:22543,d4e3abc0-e2b2-4971-8b99-4e7358a77b28,externalsystemid:22543,0000022543,true,,"UC Stu/Graduate, Quarter",,,Perez,James,V,,fse.hosting@ebsco.org,281-925-4184,,1966-02-01 00:00:00.000Z,47bc114e-91f6-4bd2-92b7-5cb9aa41edf4;United States;4452 Gambler Lane;;Houston;TX;77002;true;Home Address,001,,2025-12-01 00:00:00.000Z,,,,
username:22542,c90ea5f0-a108-407a-9dd2-8caff5f114eb,externalsystemid:22542,0000022542,true,,"UC Stu/Graduate, Quarter",,,Jenkins,Herbert,C,,fse.hosting@ebsco.org,781-575-5603,,1990-04-11 00:00:00.000Z,97364d64-3e13-4c09-878f-782f9a09691c;United States;872 Single Street;;Canton;MA;2021;true;Home Address,001,,2025-12-01 00:00:00.000Z,,,,
username:22541,b1dc652e-9607-40b8-9322-8c6a309cdb2b,externalsystemid:22541,0000022541,true,,"UC Stu/Graduate, Quarter",,,Olguin,Rebekah,H,,fse.hosting@ebsco.org,304-731-8210,,1976-09-30 00:00:00.000Z,0ff5268f-211f-426c-a34e-db004728c439;United States;2435 Augusta Park;;Beckley;WV;25801;true;Home Address,001,,2025-12-01 00:00:00.000Z,,,,
username:22540,47847f8a-02ef-4192-9e83-29984626bbac,externalsystemid:22540,0000022540,true,,"UC Stu/Graduate, Quarter",,,Field,Clyde,K,,fse.hosting@ebsco.org,218-475-7159,,1975-04-21 00:00:00.000Z,3ee35249-0426-4526-a24d-38df8d0c204a;United States;139 Ferrell Street;;Hovland;MN;55606;true;Home Address,001,,2025-12-01 00:00:00.000Z,,,,
username:2254,3c9b7f47-a0c0-4105-a3e5-27a6602d6edc,externalsystemid:2254,000002254,true,,"UC Stu/Graduate, Quarter",,,Turner,Jeffrey,G,,fse.hosting@ebsco.org,267-393-1940,,1992-07-24 00:00:00.000Z,16eb9698-5c43-4731-bd4e-1b0571117319;United States;1507 Quincy Street;;Eagleville;PA;19403;true;Home Address,001,,2025-12-01 00:00:00.000Z,2022-08-09 16:04:38.020Z,2022-08-09 16:04:38.020Z,,
