User name,User id,External system id,Barcode,Active,Type,Patron group,Departments,Proxy for,Last name,First name,Middle name,Preferred first name,Email,Phone,Mobile phone,Date of birth,Addresses,Preferred contact type id,Enrollment date,Expiration date,Created date,Updated date,Tags,Custom fields
username:999,aea3b66f-9019-4209-80b0-45beb07e6165,externalsystemid:999,999,true,,"UC Stu/Graduate, Quarter",,,Yates,Willie,L,,fse.hosting@ebsco.org,212-929-3020,,1972-04-22 00:00:00.000Z,7e45e6ba-f744-448b-af18-6ac1c7cdcfae;United States;3404 Rosewood Lane;;New York;NY;10011;true;Home Address,1,,2025-12-01 00:00:00.000Z,2022-08-09 21:40:11.880Z,2022-08-09 21:40:11.880Z,,
marie,02dd5d43-f4c8-46f3-9778-fb059b2a08fc,,9987656,true,,"UC Stu/Graduate, Quarter",,,Eustis,Marie,,,jeustis@umass.edu,,,,,2,,2025-12-01 00:00:00.000Z,2022-08-09 21:37:43.662Z,2022-08-09 21:37:43.662Z,,
username:996,e24dd811-3db7-434d-9df1-fd33891b2210,externalsystemid:996,996,true,,"UC Stu/Graduate, Quarter",,,Pearson,Carl,M,,fse.hosting@ebsco.org,651-492-2652,,1965-01-03 00:00:00.000Z,4201a947-1f1b-4455-8b19-9de69f5d3f64;United States;876 B Street;;Minneapolis;MN;55406;true;Home Address,1,,2025-12-01 00:00:00.000Z,2022-08-09 21:40:11.867Z,2022-08-09 21:40:11.867Z,,
username:995,d11beaf6-e6c9-45a9-90d7-e79432792c65,externalsystemid:995,995,true,,"UC Stu/Graduate, Quarter",,,McCabe,Jerry,B,,fse.hosting@ebsco.org,410-728-6015,,1962-04-01 00:00:00.000Z,d1342a0c-66f6-4dbb-8add-38cd1a0a5f56;United States;4134 Marshall Street;;Baltimore;MD;21217;true;Home Address,1,,2025-12-01 00:00:00.000Z,2022-08-09 21:40:11.905Z,2022-08-09 21:40:11.905Z,,
username:994,e52dbef9-c7e9-4063-9e23-446e8036676c,externalsystemid:994,994,true,,"UC Stu/Graduate, Quarter",,,Stine,Dana,K,,fse.hosting@ebsco.org,404-983-5819,,1982-11-03 00:00:00.000Z,7164e5c5-14e8-44a4-b8a0-c4c66c8af547;United States;2952 Musgrave Street;;Decatur;GA;30030;true;Home Address,1,,2025-12-01 00:00:00.000Z,2022-08-09 21:40:11.851Z,2022-08-09 21:40:11.851Z,,
username:992,5447ad7b-5407-4997-92c6-88d1e7659e15,externalsystemid:992,992,true,,"UC Stu/Graduate, Quarter",,,Wagner,Sarah,T,,fse.hosting@ebsco.org,850-305-7245,,1977-04-19 00:00:00.000Z,f16aacc2-3aec-420f-aedb-8a84fcc072eb;United States;494 Virgil Street;;Crestview;FL;32539;true;Home Address,1,,2025-12-01 00:00:00.000Z,2022-08-09 21:40:11.838Z,2022-08-09 21:40:11.838Z,,
username:99,53930c09-5c59-482b-b0f3-e7e0027f3623,externalsystemid:99,99,true,,"UC Stu/Graduate, Quarter",,,Martin,John,L,,fse.hosting@ebsco.org,703-654-2688,,1959-08-09 00:00:00.000Z,6e46d9e7-6107-4af4-8dc0-103d9b22018c;United States;1845 Ashford Drive;;Washington;VA;20005;true;Home Address,1,,2025-12-01 00:00:00.000Z,2022-08-09 21:40:02.078Z,2022-08-09 21:40:02.078Z,,
username:988,8f519903-f724-4871-9218-7750049d0340,externalsystemid:988,988,true,,"UC Stu/Graduate, Quarter",,,Smith,Becky,L,,fse.hosting@ebsco.org,951-321-2657,,1981-10-18 00:00:00.000Z,bb06aa41-2053-434a-9bc0-a167523221a3;United States;101 Denver Avenue;;Riverside;CA;92501;true;Home Address,1,,2025-12-01 00:00:00.000Z,2022-08-09 21:40:11.812Z,2022-08-09 21:40:11.812Z,,
username:987,3966594e-2d50-4138-a90b-f4e479399b49,externalsystemid:987,987,true,,"UC Stu/Graduate, Quarter",,,Donner,Ona,C,,fse.hosting@ebsco.org,347-234-7153,,1968-02-26 00:00:00.000Z,143d4f24-3e8e-42cf-8876-7835a1381503;United States;1395 My Drive;;Garden City;NY;11530;true;Home Address,1,,2025-12-01 00:00:00.000Z,2022-08-09 21:40:11.824Z,2022-08-09 21:40:11.824Z,,
username:986,39c585e0-a7a9-4df7-86b5-b13d22e9b9ff,externalsystemid:986,986,true,,"UC Stu/Graduate, Quarter",,,Nevels,Carl,T,,fse.hosting@ebsco.org,972-648-5402,,1973-12-03 00:00:00.000Z,94bdfc60-27eb-4266-aaee-abcd9dacf4d7;United States;158 Worthington Drive;;Dallas;TX;75212;true;Home Address,1,,2025-12-01 00:00:00.000Z,2022-08-09 21:40:11.799Z,2022-08-09 21:40:11.799Z,,
